# O'zbek tili G2P leksikoni (qoida asosida yaratilgan)
# ustunlar: so'z / fonemalar / holat (aniq | noaniq) / variantlar soni
imkon	i m k o n	aniq	1
imkoniyati	i m k o n i j a t i	aniq	1
imkoniyatini	i m k o n i j a t i n i	aniq	1
internet	i n t e r n e t	aniq	1
irillab	i r i l l a b	aniq	1
ittifoqchilar	i t t i f o q tʃ i l a r	aniq	1
jadvalda	dʒ a d v a l d a	noaniq	2
jag‘larida	dʒ a ʁ l a r i d a	noaniq	2
jamoat	dʒ a m o a t	noaniq	2
janubi	dʒ a n u b i	noaniq	2
janubiy	dʒ a n u b i j	noaniq	2
jg‘axt	dʒ ʁ a x t	noaniq	2
jiddiy	dʒ i d d i j	noaniq	2
joylashgan	dʒ o j l a ʃ g a n	noaniq	2
juftliklar	dʒ u f t l i k l a r	noaniq	2
jumlaga	dʒ u m l a g a	noaniq	2
kan	k a n	aniq	1
keldi	k e l d i	aniq	1
keng	k e ŋ	aniq	1
ketib	k e t i b	aniq	1
ketish	k e t i ʃ	aniq	1
keyin	k e j i n	aniq	1
kirdi	k i r d i	aniq	1
kirish	k i r i ʃ	aniq	1
kishi	k i ʃ i	aniq	1
kometalar	k o m e t a l a r	aniq	1
ko‘p	k ɵ p	aniq	1
ko‘pchilik	k ɵ p tʃ i l i k	aniq	1
ko‘proq	k ɵ p r o q	aniq	1
ko‘ra	k ɵ r a	aniq	1
kuchli	k u tʃ l i	aniq	1
kunlari	k u n l a r i	aniq	1
kurash	k u r a ʃ	aniq	1
kutib	k u t i b	aniq	1
lealofi	l e a l o f i	aniq	1
lekin	l e k i n	aniq	1
li	l i	aniq	1
liboslarni	l i b o s l a r n i	aniq	1
lun	l u n	aniq	1
m	m	aniq	1
mamlakatlarda	m a m l a k a t l a r d a	aniq	1
maqsadga	m a q s a d g a	aniq	1
marshruti	m a r ʃ r u t i	aniq	1
marshrutini	m a r ʃ r u t i n i	aniq	1
masalalarini	m a s a l a l a r i n i	aniq	1
masalan	m a s a l a n	aniq	1
masihning	m a s i h n i ŋ	aniq	1
maslahati	m a s l a h a t i	aniq	1
maslahatini	m a s l a h a t i n i	aniq	1
mau	m a u	aniq	1
mavsumiy	m a v s u m i j	aniq	1
mazkur	m a z k u r	aniq	1
ma‘noda	m a ʔ n o d a	noaniq	2
mehmonxonalarda	m e h m o n x o n a l a r d a	aniq	1
mendoza	m e n d o z a	aniq	1
metallning	m e t a l l n i ŋ	aniq	1
milliy	m i l l i j	aniq	1
mintaqaviy	m i n t a q a v i j	aniq	1
mm	m m	aniq	1
mo‘ljallangan	m ɵ l dʒ a l l a ŋ a n	noaniq	4
muhitda	m u h i t d a	aniq	1
